Bronx,1,"Melrose, Mott Haven, Port Morris","91,497"
Bronx,2,"Hunts Point, Longwood","52,246"
Bronx,3,"Morrisania, Crotona Park East","79,762"
Bronx,4,"Highbridge, Concourse Village","146,441"
Bronx,5,"University Hts., Fordham, Mt. Hope","128,200"
Bronx,6,"East Tremont, Belmont","83,268"
Bronx,7,"Bedford Park, Norwood, Fordham","139,286"
Bronx,8,"Riverdale, Kingsbridge, Marble Hill","101,731"
Bronx,9,"Soundview, Parkchester","172,298"
Bronx,10,"Throgs Nk., Co-op City, Pelham Bay","120,392"
Bronx,11,"Pelham Pkwy, Morris Park, Laconia","113,232"
Bronx,12,"Wakefield, Williamsbridge","152,344"
Brooklyn,1 ,"Williamsburg, Greenpoint","173,083"
Brooklyn,2 ,"Brooklyn Heights, Fort Greene","99,617"
Brooklyn,3 ,Bedford Stuyvesant,"152,985"
Brooklyn,4 ,Bushwick,"112,634"
Brooklyn,5 ,"East New York, Starrett City","182,896"
Brooklyn,6 ,"Park Slope, Carroll Gardens","104,709"
Brooklyn,7 ,"Sunset Park, Windsor Terrace","126,230"
Brooklyn,8 ,Crown Heights North,"96,317"
Brooklyn,9 ,"Crown Heights South, Wingate","98,429"
Brooklyn,10 ,"Bay Ridge, Dyker Heights","124,491"
Brooklyn,11 ,"Bensonhurst, Bath Beach ","181,981"
Brooklyn,12 ,"Borough Park, Ocean Parkway","191,382"
Brooklyn,13 ,"Coney Island, Brighton Beach","104,278"
Brooklyn,14 ,"Flatbush, Midwood","160,664"
Brooklyn,15 ,"Sheepshead Bay, Gerritsen Beach","159,650"
Brooklyn,16 ,"Brownsville, Ocean Hill","86,468"
Brooklyn,17 ,"East Flatbush, Rugby, Farragut","155,252"
Brooklyn,18 ,"Canarsie, Flatlands","193,543"
Manhattan,1 ,"Battery Park City, Tribeca","60,978"
Manhattan,2 ,"Greenwich Village, Soho","90,016"
Manhattan,3 ,"Lower East Side, Chinatown","163,277"
Manhattan,4 ,"Chelsea, Clinton","103,245"
Manhattan,5 ,Midtown Business District,"51,673"
Manhattan,6 ,"Stuyvesant Town, Turtle Bay","142,745"
Manhattan,7 ,"West Side, Upper West Side","209,084"
Manhattan,8 ,Upper East Side,"219,920"
Manhattan,9 ,"Manhattanville, Hamilton Heights","110,193"
Manhattan,10 ,Central Harlem,"115,723"
Manhattan,11 ,East Harlem,"120,511"
Manhattan,12 ,"Washington Heights, Inwood","190,020"
Queens,1,"Astoria, Long Island City","191,105"
Queens,2,"Sunnyside, Woodside","113,200"
Queens,3,"Jackson Heights, North Corona","171,576"
Queens,4,"Elmhurst, South Corona","172,598"
Queens,5,"Ridgewood, Glendale, Maspeth","169,190"
Queens,6,"Forest Hills, Rego Park","113,257"
Queens,7,"Flushing, Bay Terrace","247,354"
Queens,8,"Fresh Meadows, Briarwood","151,107"
Queens,9,"Woodhaven, Richmond Hill","143,317"
Queens,10,"Ozone Park, Howard Beach","122,396"
Queens,11,"Bayside, Douglaston, Little Neck","116,431"
Queens,12,"Jamaica, St. Albans, Hollis","225,919"
Queens,13,"Queens Village, Rosedale","188,593"
Queens,14,"The Rockaways, Broad Channel","114,978"
Staten Island,1,"Stapleton, Port Richmond","175,756"
Staten Island,2,"New Springville, South Beach","132,003"
Staten Island,3,"Tottenville, Woodrow, Great Kills","160,209"
